CVE,Name
CVE-2017-9775,Ubuntu 14.04 LTS / 16.04 LTS / 16.10 / 17.04 : poppler vulnerabilities (USN-3350-1)
CVE-2017-9605,Ubuntu 14.04 LTS : linux vulnerabilities (USN-3360-1)
CVE-2017-9526,"Ubuntu 14.04 LTS / 16.04 LTS / 16.10 / 17.04 : libgcrypt11, libgcrypt20 vulnerabilities (USN-3347-1)"
CVE-2017-9408,Ubuntu 14.04 LTS / 16.04 LTS / 16.10 / 17.04 : poppler vulnerabilities (USN-3350-1)
CVE-2017-9406,Ubuntu 14.04 LTS / 16.04 LTS / 16.10 / 17.04 : poppler vulnerabilities (USN-3350-1)
CVE-2017-9242,"Ubuntu 14.04 LTS : linux, linux-meta vulnerabilities (USN-3335-1) (Stack Clash)"
CVE-2017-9242,Ubuntu 14.04 LTS : linux vulnerabilities (USN-3343-1)
CVE-2017-9233,Ubuntu 14.04 LTS / 16.04 LTS / 16.10 / 17.04 : expat vulnerability (USN-3356-1)
CVE-2017-9083,Ubuntu 14.04 LTS / 16.04 LTS / 16.10 / 17.04 : poppler vulnerabilities (USN-3350-1)
CVE-2017-9077,"Ubuntu 14.04 LTS : linux, linux-meta vulnerabilities (USN-3335-1) (Stack Clash)"
CVE-2017-9077,Ubuntu 14.04 LTS : linux vulnerabilities (USN-3343-1)
CVE-2017-9076,"Ubuntu 14.04 LTS : linux, linux-meta vulnerabilities (USN-3335-1) (Stack Clash)"
CVE-2017-9076,Ubuntu 14.04 LTS : linux vulnerabilities (USN-3343-1)
CVE-2017-9075,"Ubuntu 14.04 LTS : linux, linux-meta vulnerabilities (USN-3335-1) (Stack Clash)"
CVE-2017-9075,Ubuntu 14.04 LTS : linux vulnerabilities (USN-3343-1)
CVE-2017-9074,"Ubuntu 14.04 LTS : linux, linux-meta vulnerabilities (USN-3335-1) (Stack Clash)"
CVE-2017-9074,Ubuntu 14.04 LTS : linux vulnerabilities (USN-3343-1)
CVE-2017-8925,Ubuntu 14.04 LTS : linux vulnerabilities (USN-3360-1)
CVE-2017-8924,Ubuntu 14.04 LTS : linux vulnerabilities (USN-3360-1)
CVE-2017-8890,"Ubuntu 14.04 LTS : linux, linux-meta vulnerabilities (USN-3335-1) (Stack Clash)"
