CVE,Name
,HTTP Server Type and Version
CVE-1999-0524,ICMP Timestamp Request Remote Date Disclosure
,Windows NetBIOS / SMB Remote Host Information Disclosure
,Microsoft Windows SMB Log In Possible
,Microsoft Windows SMB Shares Enumeration
CVE-1999-0519,Microsoft Windows SMB Shares Access
CVE-1999-0520,Microsoft Windows SMB Shares Access
,Microsoft Windows SMB Registry Remotely Accessible
,Microsoft Windows SMB Service Enumeration
,DCE Services Enumeration
,DCE Services Enumeration
,DCE Services Enumeration
,DCE Services Enumeration
,DCE Services Enumeration
,DCE Services Enumeration
,DCE Services Enumeration
,DCE Services Enumeration
,Microsoft Windows SMB NativeLanManager Remote System Information Disclosure
CVE-2000-1200,Microsoft Windows SMB LsaQueryInformationPolicy Function SID Enumeration
,SMB Use Host SID to Enumerate Local Users
,Microsoft Windows 'Administrators' Group User List
,Microsoft Windows - Local Users Information : Disabled Accounts
,Microsoft Windows - Local Users Information : Never Changed Passwords
,Microsoft Windows - Local Users Information : User Has Never Logged In
,Open Port Re-check
,Microsoft Windows SMB Service Detection
,Microsoft Windows SMB Service Detection
,Microsoft Windows SMB Registry : Winlogon Cached Password Weakness
,OS Identification
,Host Fully Qualified Domain Name (FQDN) Resolution
,Microsoft Windows SMB : Obtains the Password Policy
,Nessus Scan Information
,Service Detection
,Microsoft Windows SMB Share Hosting Office Files
,HyperText Transfer Protocol (HTTP) Information
,Windows Management Instrumentation (WMI) Available
,Computer Manufacturer Information (WMI)
,Network Interfaces Enumeration (WMI)
,TCP/IP Timestamps Supported
,BIOS Version (WMI)
,Netstat Portscanner (WMI)
,Netstat Portscanner (WMI)
,Netstat Portscanner (WMI)
,Netstat Portscanner (WMI)
,Netstat Portscanner (WMI)
,Netstat Portscanner (WMI)
,Netstat Portscanner (WMI)
,Netstat Portscanner (WMI)
,Netstat Portscanner (WMI)
,Netstat Portscanner (WMI)
,Netstat Portscanner (WMI)
,Netstat Portscanner (WMI)
,Netstat Portscanner (WMI)
,Netstat Portscanner (WMI)
,Netstat Portscanner (WMI)
,Microsoft Windows Remote Listeners Enumeration (WMI)
,Microsoft Windows Remote Listeners Enumeration (WMI)
,Microsoft Windows Remote Listeners Enumeration (WMI)
,Microsoft Windows Remote Listeners Enumeration (WMI)
,Microsoft Windows Remote Listeners Enumeration (WMI)
,Microsoft Windows Remote Listeners Enumeration (WMI)
,Microsoft Windows Remote Listeners Enumeration (WMI)
,Microsoft Windows Remote Listeners Enumeration (WMI)
,Microsoft Windows Remote Listeners Enumeration (WMI)
,Microsoft Windows Remote Listeners Enumeration (WMI)
,Microsoft Windows Remote Listeners Enumeration (WMI)
,Microsoft Windows Remote Listeners Enumeration (WMI)
,Microsoft Windows Remote Listeners Enumeration (WMI)
,Microsoft Windows Remote Listeners Enumeration (WMI)
,Ethernet Card Manufacturer Detection
,Microsoft Windows Summary of Missing Patches
,Microsoft Windows SMB Service Config Enumeration
,WMI Windows Feature Enumeration
,Reachable IPv6 address
,Common Platform Enumeration (CPE)
,Windows ComputerSystemProduct Enumeration (WMI)
,Microsoft Windows SMB Registry : OS Version and Processor Architecture
,Microsoft .NET Framework Detection
,Device Type
,Device Hostname
,Firewall Rule Enumeration
,Time of Last System Startup
,Microsoft Patch Bulletin Feasibility Check
,SMB Signing Disabled
,Windows DNS Server Enumeration
,Netstat Active Connections
CVE-2012-1895,MS12-074: Vulnerabilities in .NET Framework Could Allow Remote Code Execution (2745030)
CVE-2012-1896,MS12-074: Vulnerabilities in .NET Framework Could Allow Remote Code Execution (2745030)
CVE-2012-2519,MS12-074: Vulnerabilities in .NET Framework Could Allow Remote Code Execution (2745030)
CVE-2012-4776,MS12-074: Vulnerabilities in .NET Framework Could Allow Remote Code Execution (2745030)
